date,close,volume,amount
2017-12-26,79.4700,23816621,1891876217.8400
2017-12-27,77.9000,26333042,2072640193.2000
2017-12-28,80.8600,52670572,4229394767.8800
2017-12-29,79.8800,42744727,3411580328.0700
2018-01-02,80.5800,31525233,2515564441.9700
2018-01-03,80.9000,28461426,2303523783.8500
2018-01-04,82.9900,36057706,2979263417.8400
2018-01-05,82.6800,23195809,1913069874.1700
2018-01-08,82.2000,28681834,2367460141.7700
2018-01-09,86.1000,38836460,3297220843.5000
2018-01-10,88.9000,34245866,2978674635.8100
2018-01-11,87.9600,25477862,2249762450.1200
2018-01-12,91.3700,32092356,2870276321.0900
2018-01-15,91.7500,37964408,3482483788.0600
2018-01-16,90.8200,36615522,3335555956.4400
2018-01-17,86.0100,49610896,4346534429.9400
2018-01-18,86.4000,42970090,3712081698.1300
2018-01-19,85.1700,38200365,3259552587.2400
2018-01-22,90.4200,44582353,3918907687.4700
2018-01-23,89.7100,38468166,3439974330.3200
2018-01-24,87.3500,34969575,3063373440.4500
2018-01-25,86.0000,42112892,3604252895.6200
2018-01-26,86.8400,31205375,2700119273.4800
2018-01-29,82.0800,59138327,4943911228.1800
2018-01-30,81.4000,37462177,3052119414.1200
2018-01-31,84.3800,41788143,3505918466.7700
2018-02-01,82.9800,44568953,3673372380.6800
2018-02-02,82.2800,34858228,2863027755.1500
2018-02-05,77.8700,71330226,5572736828.7800
2018-02-06,76.4400,54196919,4133274384.7400
2018-02-07,71.0200,70381493,5213875293.3300
2018-02-08,72.0200,54490699,3947815137.9800
2018-02-09,71.2000,58892094,4118273897.7900
2018-02-12,74.4000,44602248,3294954327.3300
2018-02-13,75.1000,28384041,2154585818.6500
2018-02-14,76.6000,20804303,1574485186.4300
2018-02-22,80.1000,29097829,2293498101.0100
2018-02-23,79.6400,18911704,1508538665.2600
2018-02-26,78.5200,32026964,2511465945.1800
2018-02-27,76.1000,29074902,2243446084.4500
2018-02-28,74.2800,33010190,2444849428.2400
2018-03-01,74.3200,25464928,1898957362.6800
2018-03-02,73.4200,24660697,1813429720.1000
2018-03-05,72.0900,21115132,1534679284.8700
2018-03-06,73.2400,40694235,2914565018.5300
2018-03-07,73.2800,28376080,2102488980.1800
2018-03-08,76.9000,39520411,2984000307.4400
2018-03-09,77.1000,24552854,1894214324.9800
2018-03-12,76.1500,24233436,1848556888.6600
2018-03-13,74.6100,23113760,1744599434.1100
2018-03-14,75.5500,24022456,1789564265.2100
2018-03-15,78.0000,37340376,2897589116.1200
2018-03-16,76.8700,20518937,1593762700.5600
2018-03-19,77.7100,21019573,1624137665.1100
2018-03-20,75.6500,23932435,1808025014.7400
2018-03-21,74.5200,24310066,1827536926.5100
2018-03-22,72.1300,32849545,2389981815.5600
2018-03-23,71.3700,32138345,2262435107.3100
2018-03-26,69.9900,27866806,1950578700.2200
2018-03-27,68.4700,54114758,3725130510.6800
2018-03-28,64.7400,66248850,4362252821.6700
2018-03-29,67.5000,52291220,3444044172.1400
2018-03-30,66.3600,31431119,2098175069.3200
2018-04-02,66.4300,33105740,2200519197.3900
2018-04-03,67.1200,39623208,2653203066.9100
2018-04-04,69.9000,50076876,3482435492.9900
2018-04-09,69.7500,24102141,1678408756.9800
2018-04-10,70.3800,20743086,1447802101.4600
2018-04-11,70.3100,24083870,1704348557.0500
2018-04-12,69.2000,20716396,1442430066.2500
2018-04-13,67.9800,23659999,1625272506.4600
2018-04-16,67.9700,22397760,1522825990.7300
2018-04-17,67.0000,20055726,1363917820.4700
2018-04-18,66.3300,23950533,1589663456.8300
2018-04-19,70.3700,37086767,2556716433.5300
2018-04-20,69.6300,30706027,2154424575.9700
2018-04-23,69.6900,21469676,1492450926.6300
2018-04-24,72.4300,36973742,2660105985.5400
2018-04-25,72.3400,17474827,1262337931.2300
2018-04-26,69.1000,28351699,1975528198.9700
2018-04-27,67.9800,23621586,1607040276.0800
2018-05-02,71.2200,34830625,2442217861.8200
2018-05-03,73.8000,31984117,2323274726.0800
2018-05-04,72.9000,19882975,1455358587.9000
2018-05-07,76.0000,34444873,2594926610.9500
2018-05-08,76.0400,28532017,2172832592.8100
